"","year","parent_entity","commodity","total_emissions_MtCO2e","total","avg_emissions"
"31",1985,"Abu Dhabi National Oil Company","Oil & NGL",69.3418933760154,69.3418933760154,167.765492760171
"32",1985,"Abu Dhabi National Oil Company","Natural Gas",28.1055140580619,28.1055140580619,87.0503895263982
"33",1986,"Abu Dhabi National Oil Company","Oil & NGL",113.509336900206,113.509336900206,178.850399830241
"34",1986,"Abu Dhabi National Oil Company","Natural Gas",28.9600664165861,28.9600664165861,90.2638663258141
"35",1987,"Abu Dhabi National Oil Company","Oil & NGL",157.676780424396,157.676780424396,161.326990953318
"36",1987,"Abu Dhabi National Oil Company","Natural Gas",29.7901421820267,29.7901421820267,83.7362953828904
"37",1988,"Abu Dhabi National Oil Company","Oil & NGL",150.977311756895,150.977311756895,157.32136784811
"38",1988,"Abu Dhabi National Oil Company","Natural Gas",30.5957413543839,30.5957413543839,81.317231953182
"39",1989,"Abu Dhabi National Oil Company","Oil & NGL",213.984219463153,213.984219463153,162.623151231911
"40",1989,"Abu Dhabi National Oil Company","Natural Gas",33.6393524943331,33.6393524943331,76.8938226729166
"41",1990,"Abu Dhabi National Oil Company","Oil & NGL",237.551993168469,237.551993168469,168.523642168439
"42",1990,"Abu Dhabi National Oil Company","Natural Gas",35.5623613509373,35.5623613509373,78.0546035133517
"43",1991,"Abu Dhabi National Oil Company","Oil & NGL",288.1967860716,288.1967860716,154.001189552302
"44",1991,"Abu Dhabi National Oil Company","Natural Gas",40.4288401557882,40.4288401557882,71.58939361989
"45",1992,"Abu Dhabi National Oil Company","Oil & NGL",268.098380069098,268.098380069098,127.468616651884
"46",1992,"Abu Dhabi National Oil Company","Natural Gas",42.7632686161352,42.7632686161352,71.606246942206
"47",1993,"Abu Dhabi National Oil Company","Oil & NGL",260.840622345972,260.840622345972,130.485506308871
"48",1993,"Abu Dhabi National Oil Company","Natural Gas",43.6740639287665,43.6740639287665,71.1068809370632
"49",1994,"Abu Dhabi National Oil Company","Oil & NGL",270.451169660661,270.451169660661,132.140430736817
"50",1994,"Abu Dhabi National Oil Company","Natural Gas",50.7719034530888,50.7719034530888,69.6060529009642
"51",1995,"Abu Dhabi National Oil Company","Oil & NGL",272.604570303786,272.604570303786,132.669366935258
"52",1995,"Abu Dhabi National Oil Company","Natural Gas",45.2918071016314,45.2918071016314,68.9600037665808
"53",1996,"Abu Dhabi National Oil Company","Oil & NGL",268.69654691441,268.69654691441,133.625135766005
"54",1996,"Abu Dhabi National Oil Company","Natural Gas",48.6131065385851,48.6131065385851,71.1507507316166
"55",1997,"Abu Dhabi National Oil Company","Oil & NGL",282.374628777225,282.374628777225,135.746861873275
"56",1997,"Abu Dhabi National Oil Company","Natural Gas",51.9476269438783,51.9476269438783,69.841361316105
"57",1998,"Abu Dhabi National Oil Company","Oil & NGL",298.405500231602,298.405500231602,133.650236942346
"58",1998,"Abu Dhabi National Oil Company","Natural Gas",62.8077279658882,62.8077279658882,68.4292740821688
"59",1999,"Abu Dhabi National Oil Company","Oil & NGL",268.53703575566,268.53703575566,134.280950440264
"60",1999,"Abu Dhabi National Oil Company","Natural Gas",74.5981174505143,74.5981174505143,70.9684483652155
